index,Barrio,BARRIOS_HECHO,lat,lon
285,"Asentamiento camino de paz i, Bucaramanga, Colombia",ASENTAMIENTO CAMINO DE PAZ I,7.12551689, -73.11826324
286,"Gualilo alto, Bucaramanga, Colombia",GUALILO ALTO,7.12551689, -73.11826324
287,"Santa rita, Bucaramanga, Colombia",SANTA RITA,7.12551689, -73.11826324
288,"Vda. marcelitas, Bucaramanga, Colombia",VDA. MARCELITAS,7.12551689, -73.11826324
289,"Los acasios, Bucaramanga, Colombia",LOS ACASIOS,7.12551689, -73.11826324
290,"Tejados, Bucaramanga, Colombia",TEJADOS,7.12551689, -73.11826324
291,"Pantano i, Bucaramanga, Colombia",PANTANO I,7.12551689, -73.11826324
292,"San pedro alto, Bucaramanga, Colombia",SAN PEDRO ALTO,7.12551689, -73.11826324
293,"Inv. luz de esperanza, Bucaramanga, Colombia",INV. LUZ DE ESPERANZA,7.12551689, -73.11826324
294,"Asentamiento moneque, Bucaramanga, Colombia",ASENTAMIENTO MONEQUE,7.12551689, -73.11826324
295,"La esmeralda, Bucaramanga, Colombia",LA ESMERALDA,7.12551689, -73.11826324
296,"Cuchilla alta, Bucaramanga, Colombia",CUCHILLA ALTA,7.12551689, -73.11826324
297,"San pedro bajo, Bucaramanga, Colombia",SAN PEDRO BAJO,7.12551689, -73.11826324
298,"Retiro grande parte baja, Bucaramanga, Colombia",RETIRO GRANDE PARTE BAJA,7.12551689, -73.11826324
299,"San cayetano, Bucaramanga, Colombia",SAN CAYETANO,7.19627666, -73.10302734
300,"Anillo vial, Bucaramanga, Colombia",ANILLO VIAL,7.06494285, -73.1251518
301,"Asentamiento mesetas del santuario, Bucaramanga, Colombia",ASENTAMIENTO MESETAS DEL SANTUARIO,7.12551689, -73.11826324
302,"Urbanizacion macaregua, Bucaramanga, Colombia",Urbanizacion MACAREGUA,7.12551689, -73.11826324
303,"C.r. soleri, Bucaramanga, Colombia",C.R. SOLERI,7.12551689, -73.11826324
304,"Prados del mutis, Bucaramanga, Colombia",PRADOS DEL MUTIS,7.09312868, -73.13474274
305,"La guacamaya, Bucaramanga, Colombia",LA GUACAMAYA,7.12551689, -73.11826324
306,"Pantano iii, Bucaramanga, Colombia",PANTANO III,7.12551689, -73.11826324
307,"Asentamiento el fonce, Bucaramanga, Colombia",ASENTAMIENTO EL FONCE,7.12551689, -73.11826324
308,"C.r. las margaritas, Bucaramanga, Colombia",C.R. LAS MARGARITAS,7.12551689, -73.11826324
309,"Omaga 3, Bucaramanga, Colombia",OMAGÃ 3,7.12551689, -73.11826324
310,"Barrio nuevo, Bucaramanga, Colombia",BARRIO NUEVO,7.57182407, -73.235672
311,"Mirador de fatima, Bucaramanga, Colombia",MIRADOR DE FATIMA,7.12551689, -73.11826324
312,"Campo alegre ii, Bucaramanga, Colombia",CAMPO ALEGRE II,7.12551689, -73.11826324
313,"Inem, Bucaramanga, Colombia",INEM,7.12551689, -73.11826324
314,"Asentamiento la hoyada, Bucaramanga, Colombia",ASENTAMIENTO LA HOYADA,7.12551689, -73.11826324
315,"Prados del norte, Bucaramanga, Colombia",PRADOS DEL NORTE,7.1560154, -73.13822937
316,"Urbanizacion ciudad bolivar, Bucaramanga, Colombia",Urbanizacion CIUDAD BOLIVAR,7.12551689, -73.11826324
317,"Urbanizacion heroes, Bucaramanga, Colombia",Urbanizacion HEROES,7.12551689, -73.11826324
318,"Asentamiento jose antonio galan, Bucaramanga, Colombia",ASENTAMIENTO JOSÃ‰ ANTONIO GALÃN,7.12551689, -73.11826324
319,"Villa alegria i, Bucaramanga, Colombia",VILLA ALEGRÃA I,7.12551689, -73.11826324
320,"Villa maria i, Bucaramanga, Colombia",VILLA MARÃA I,7.12551689, -73.11826324
321,"Nueva gracia de dios, Bucaramanga, Colombia",NUEVA GRACIA DE DIOS,7.12551689, -73.11826324
322,"Las americas, Bucaramanga, Colombia",LAS AMERICAS,7.12551689, -73.11826324
323,"Cacique condominio, Bucaramanga, Colombia",CACIQUE CONDOMINIO,7.12551689, -73.11826324
324,"Urbanizacion acropolis i, Bucaramanga, Colombia",Urbanizacion ACROPOLIS I,7.12551689, -73.11826324
325,"Casco antiguo, Bucaramanga, Colombia",CASCO ANTIGUO,7.12551689, -73.11826324
326,"Bonanza campestre, Bucaramanga, Colombia",BONANZA CAMPESTRE,7.12551689, -73.11826324
