index,Barrio,BARRIOS_HECHO,lat,lon
69,"La feria, Bucaramanga, Colombia",LA FERIA,7.12551689, -73.11826324
70,"Nueva granada, Bucaramanga, Colombia",NUEVA GRANADA,7.37889099, -73.42705536
71,"Alarcon, Bucaramanga, Colombia",ALARCÃ“N,7.12551689, -73.11826324
72,"Villas de san ignacio (sectores bavaria i y ii / betania i y ii / ingeser), Bucaramanga, Colombia",VILLAS DE SAN IGNACIO (SECTORES BAVARIA I Y II / BETANIA I Y II / INGESER),7.12551689, -73.11826324
73,"Mutis, Bucaramanga, Colombia",MUTIS,7.09312868, -73.13474274
74,"La independencia, Bucaramanga, Colombia",LA INDEPENDENCIA,7.12551689, -73.11826324
75,"Olas bajas, Bucaramanga, Colombia",OLAS BAJAS,7.12551689, -73.11826324
76,"Claveriano, Bucaramanga, Colombia",CLAVERIANO,7.12551689, -73.11826324
77,"Campestre norte (getsemani / los cerros / la fortuna), Bucaramanga, Colombia",CAMPESTRE NORTE (GETSEMANÃ / LOS CERROS / LA FORTUNA),7.12551689, -73.11826324
78,"Diamante ii, Bucaramanga, Colombia",DIAMANTE II,7.12551689, -73.11826324
79,"Asentamiento camilo torres, Bucaramanga, Colombia",ASENTAMIENTO CAMILO TORRES,7.12551689, -73.11826324
80,"Brisas de provenza, Bucaramanga, Colombia",BRISAS DE PROVENZA,7.08495522, -73.11476898
81,"Brisas del mutis, Bucaramanga, Colombia",BRISAS DEL MUTIS,7.09312868, -73.13474274
82,"Ricaurte, Bucaramanga, Colombia",RICAURTE,6.5512104, -72.83090973
83,"Garcia rovira, Bucaramanga, Colombia",GARCÃA ROVIRA,7.10379219, -73.14853668
84,"Regadero norte, Bucaramanga, Colombia",REGADERO NORTE,7.1560154, -73.13822937
85,"Gomez niÃ±o, Bucaramanga, Colombia",GÃ“MEZ NIÃ‘O,7.12551689, -73.11826324
86,"Santander, Bucaramanga, Colombia",SANTANDER,7.12551689, -73.11826324
87,"Modelo, Bucaramanga, Colombia",MODELO,7.12551689, -73.11826324
88,"Tejar norte, Bucaramanga, Colombia",TEJAR NORTE,7.1560154, -73.13822937
89,"Olas altas, Bucaramanga, Colombia",OLAS ALTAS,7.12551689, -73.11826324
90,"El porvenir, Bucaramanga, Colombia",EL PORVENIR,7.12551689, -73.11826324
91,"Lagos del cacique, Bucaramanga, Colombia",LAGOS DEL CACIQUE,7.10140657, -73.10010529
92,"El tejar, Bucaramanga, Colombia",EL TEJAR,7.12551689, -73.11826324
93,"Mercedes, Bucaramanga, Colombia",MERCEDES,7.12551689, -73.11826324
94,"Colseguros norte, Bucaramanga, Colombia",COLSEGUROS NORTE,7.1560154, -73.13822937
95,"Los heroes, Bucaramanga, Colombia",LOS HÃ‰ROES,7.12551689, -73.11826324
96,"Central de abastos, Bucaramanga, Colombia",CENTRAL DE ABASTOS,7.12551689, -73.11826324
97,"23 de junio, Bucaramanga, Colombia",23 DE JUNIO,10.91781435, -74.77198855
98,"Galan, Bucaramanga, Colombia",GALÃN,7.12551689, -73.11826324
99,"La juventud, Bucaramanga, Colombia",LA JUVENTUD,7.12551689, -73.11826324
100,"Villa alegria ii, Bucaramanga, Colombia",VILLA ALEGRÃA II,7.12551689, -73.11826324
101,"Inv. club chimita, Bucaramanga, Colombia",INV. CLUB CHIMITA,7.12551689, -73.11826324
102,"Manuela beltran i y ii, Bucaramanga, Colombia",MANUELA BELTRÃN I Y II,7.12551689, -73.11826324
103,"Jardines de coaviconsa, Bucaramanga, Colombia",JARDÃNES DE COAVICONSA,7.12551689, -73.11826324
104,"Albania, Bucaramanga, Colombia",ALBANIA,7.30634308, -72.72986603
105,"Maria paz, Bucaramanga, Colombia",MARÃA PAZ,7.12551689, -73.11826324
106,"Balcones del kennedy, Bucaramanga, Colombia",BALCONES DEL KENNEDY,7.12551689, -73.11826324
107,"Juan xxiii, Bucaramanga, Colombia",JUAN XXIII,7.12551689, -73.11826324
108,"Pablo vi, Bucaramanga, Colombia",PABLO VI,7.12551689, -73.11826324
109,"NariÃ±o, Bucaramanga, Colombia",NARIÃ‘O,7.28740215, -73.70107269
110,"Quinta dania, Bucaramanga, Colombia",QUINTA DANIA,7.12551689, -73.11826324
111,"San rafael, Bucaramanga, Colombia",SAN RAFAEL,6.2954936, -75.02801514
112,"San cristobal, Bucaramanga, Colombia",SAN CRISTÃ“BAL,7.77566624, -72.22141266
113,"Sin registro, Bucaramanga, Colombia",SIN REGISTRO,7.12551689, -73.11826324
114,"Las hamacas, Bucaramanga, Colombia",LAS HAMACAS,7.12551689, -73.11826324
115,"La pedregosa, Bucaramanga, Colombia",LA PEDREGOSA,7.09537268, -73.10890198
116,"Cinal, Bucaramanga, Colombia",CINAL,7.12551689, -73.11826324
117,"Chapinero, Bucaramanga, Colombia",CHAPINERO,8.13688946, -73.2803421
118,"Luz de salvacion i, Bucaramanga, Colombia",LUZ DE SALVACIÃ“N I,7.12551689, -73.11826324
119,"San gerardo, Bucaramanga, Colombia",SAN GERARDO,7.12551689, -73.11826324
120,"13 de junio, Bucaramanga, Colombia",13 DE JUNIO,10.9141747, -74.7614939
121,"Jose maria cordoba, Bucaramanga, Colombia",JOSE MARIA CORDOBA,7.12551689, -73.11826324
122,"Las colinas, Bucaramanga, Colombia",LAS COLINAS,7.58444786, -74.79685211
123,"Asturias, Bucaramanga, Colombia",ASTURIAS,7.12551689, -73.11826324
124,"Miramar, Bucaramanga, Colombia",MIRAMAR,7.21428347, -73.10829926
125,"Minuto de dios, Bucaramanga, Colombia",MINUTO DE DIOS,7.12551689, -73.11826324
126,"Urbanizacion bavaria, Bucaramanga, Colombia",Urbanizacion BAVARIA,7.12551689, -73.11826324
127,"12 de octubre, Bucaramanga, Colombia",12 DE OCTUBRE,7.12551689, -73.11826324
128,"Vereda el pablon, Bucaramanga, Colombia",VEREDA EL PABLÃ“N,6.57729888, -72.64162005
129,"Dangond, Bucaramanga, Colombia",DANGOND,7.12551689, -73.11826324
130,"Antigua colombia, Bucaramanga, Colombia",ANTIGUA COLOMBIA,7.12551689, -73.11826324
131,"El diviso, Bucaramanga, Colombia",EL DIVISO,7.12551689, -73.11826324
132,"Norte bajo, Bucaramanga, Colombia",NORTE BAJO,7.12551689, -73.11826324
133,"Candado, Bucaramanga, Colombia",CANDADO,7.12551689, -73.11826324
134,"Antonia santos sur, Bucaramanga, Colombia",ANTONIA SANTOS SUR,7.08341312, -73.13253021
135,"San miguel, Bucaramanga, Colombia",SAN MIGUEL,7.12551689, -73.11826324
136,"Asentamiento zarabanda, Bucaramanga, Colombia",ASENTAMIENTO ZARABANDA,7.12551689, -73.11826324
137,"El pablon, Bucaramanga, Colombia",EL PABLÃ“N,7.12551689, -73.11826324
138,"Primero de mayo, Bucaramanga, Colombia",PRIMERO DE MAYO,7.12551689, -73.11826324
139,"Urbanizacion el sol i, Bucaramanga, Colombia",Urbanizacion EL SOL I,7.12551689, -73.11826324
140,"Sauces, Bucaramanga, Colombia",SAUCES,7.12551689, -73.11826324
141,"La flora, Bucaramanga, Colombia",LA FLORA,7.12551689, -73.11826324
142,"Altos del kennedy, Bucaramanga, Colombia",ALTOS DEL KENNEDY,7.12551689, -73.11826324
143,"Villa del nogal, Bucaramanga, Colombia",VILLA DEL NOGAL,7.12551689, -73.11826324
144,"Urbanizacion la palma, Bucaramanga, Colombia",Urbanizacion LA PALMA,7.12551689, -73.11826324
145,"Urbanizacion plaza mayor, Bucaramanga, Colombia",Urbanizacion PLAZA MAYOR,7.12551689, -73.11826324
146,"Granjitas norte, Bucaramanga, Colombia",GRANJITAS NORTE,7.1560154, -73.13822937
147,"Olas ii, Bucaramanga, Colombia",OLAS II,7.12551689, -73.11826324
